nodes,run,operation,attempt,latency_ms
3,0,put,0,8.832
3,0,put,1,8.761
3,0,put,2,9.555
3,0,put,3,9.733
3,0,put,4,8.683
3,0,put,5,9.475
3,0,put,6,9.390
3,0,put,7,8.515
3,0,put,8,10.035
3,0,put,9,9.568
3,0,put,10,9.328
3,0,put,11,11.374
3,0,put,12,8.624
3,0,put,13,9.246
3,0,put,14,8.196
3,0,put,15,8.493
3,0,put,16,9.283
3,0,put,17,9.592
3,0,put,18,9.123
3,0,put,19,8.500
3,0,put,20,9.279
3,0,put,21,8.755
3,0,put,22,8.340
3,0,put,23,8.353
3,0,put,24,8.973
3,0,put,25,8.735
3,0,put,26,10.404
3,0,put,27,9.547
3,0,put,28,8.707
3,0,put,29,8.444
3,0,put,30,9.136
3,0,put,31,9.056
3,0,put,32,9.509
3,0,put,33,8.949
3,0,put,34,8.946
3,0,put,35,8.586
3,0,put,36,8.603
3,0,put,37,9.336
3,0,put,38,9.809
3,0,put,39,8.169
3,0,put,40,10.476
3,0,put,41,8.646
3,0,put,42,10.461
3,0,put,43,9.168
3,0,put,44,8.260
3,0,put,45,8.484
3,0,put,46,8.445
3,0,put,47,9.284
3,0,put,48,9.000
3,0,put,49,8.328
3,0,get,0,3.355
3,0,get,1,2.909
3,0,get,2,2.720
3,0,get,3,2.522
3,0,get,4,3.187
3,0,get,5,2.663
3,0,get,6,3.037
3,0,get,7,2.711
3,0,get,8,2.706
3,0,get,9,2.565
3,0,get,10,2.354
3,0,get,11,3.450
3,0,get,12,3.275
3,0,get,13,2.665
3,0,get,14,3.416
3,0,get,15,2.457
3,0,get,16,2.559
3,0,get,17,2.777
3,0,get,18,3.346
3,0,get,19,3.095
3,0,get,20,2.930
3,0,get,21,2.914
3,0,get,22,3.134
3,0,get,23,3.592
3,0,get,24,2.431
3,0,get,25,2.680
3,0,get,26,3.454
3,0,get,27,2.390
3,0,get,28,2.665
3,0,get,29,2.883
3,0,get,30,2.499
3,0,get,31,2.339
3,0,get,32,2.778
3,0,get,33,2.529
3,0,get,34,2.165
3,0,get,35,2.548
3,0,get,36,2.447
3,0,get,37,2.822
3,0,get,38,3.124
3,0,get,39,2.693
3,0,get,40,2.726
3,0,get,41,2.969
3,0,get,42,2.698
3,0,get,43,2.259
3,0,get,44,2.560
3,0,get,45,2.295
3,0,get,46,3.150
3,0,get,47,2.805
3,0,get,48,2.208
3,0,get,49,2.465
3,1,put,0,9.302
3,1,put,1,9.005
3,1,put,2,10.141
3,1,put,3,8.373
3,1,put,4,8.163
3,1,put,5,9.091
3,1,put,6,8.910
3,1,put,7,8.826
3,1,put,8,11.151
3,1,put,9,9.258
3,1,put,10,9.275
3,1,put,11,8.533
3,1,put,12,9.966
3,1,put,13,8.878
3,1,put,14,9.107
3,1,put,15,9.167
3,1,put,16,10.398
3,1,put,17,8.517
3,1,put,18,9.097
3,1,put,19,8.611
3,1,put,20,8.200
3,1,put,21,8.278
3,1,put,22,8.720
3,1,put,23,8.592
3,1,put,24,8.591
3,1,put,25,10.277
3,1,put,26,9.882
3,1,put,27,8.620
3,1,put,28,9.542
3,1,put,29,9.002
3,1,put,30,9.075
3,1,put,31,8.672
3,1,put,32,8.623
3,1,put,33,8.520
3,1,put,34,9.543
3,1,put,35,8.751
3,1,put,36,8.804
3,1,put,37,9.266
3,1,put,38,8.843
3,1,put,39,9.912
3,1,put,40,8.753
3,1,put,41,8.281
3,1,put,42,8.088
3,1,put,43,8.685
3,1,put,44,8.141
3,1,put,45,14.542
3,1,put,46,8.988
3,1,put,47,9.388
3,1,put,48,10.031
3,1,put,49,9.404
3,1,get,0,3.071
3,1,get,1,6.616
3,1,get,2,3.494
3,1,get,3,3.430
3,1,get,4,2.990
3,1,get,5,4.165
3,1,get,6,3.176
3,1,get,7,3.077
3,1,get,8,2.897
3,1,get,9,3.127
3,1,get,10,3.906
3,1,get,11,3.010
3,1,get,12,2.702
3,1,get,13,3.226
3,1,get,14,2.654
3,1,get,15,2.740
3,1,get,16,2.872
3,1,get,17,3.462
3,1,get,18,3.114
3,1,get,19,2.894
3,1,get,20,2.632
3,1,get,21,2.601
3,1,get,22,2.489
3,1,get,23,3.036
3,1,get,24,2.872
3,1,get,25,3.100
3,1,get,26,3.673
3,1,get,27,3.012
3,1,get,28,2.754
3,1,get,29,2.710
3,1,get,30,2.834
3,1,get,31,3.131
3,1,get,32,2.431
3,1,get,33,2.690
3,1,get,34,3.140
3,1,get,35,2.856
3,1,get,36,2.824
