nodes,run,operation,attempt,latency_ms
3,0,put,0,26.554
3,0,put,1,25.228
3,0,put,2,25.199
3,0,put,3,23.735
3,0,put,4,26.962
3,0,put,5,28.913
3,0,put,6,25.921
3,0,put,7,25.613
3,0,put,8,25.005
3,0,put,9,24.383
3,0,put,10,26.122
3,0,put,11,25.971
3,0,put,12,27.259
3,0,put,13,25.405
3,0,put,14,27.850
3,0,put,15,27.466
3,0,put,16,25.867
3,0,put,17,23.768
3,0,put,18,25.444
3,0,put,19,26.720
3,0,put,20,36.377
3,0,put,21,26.623
3,0,put,22,27.462
3,0,put,23,25.661
3,0,put,24,25.985
3,0,put,25,25.335
3,0,put,26,25.268
3,0,put,27,25.185
3,0,put,28,28.329
3,0,put,29,26.000
3,0,put,30,24.660
3,0,put,31,27.199
3,0,put,32,29.856
3,0,put,33,26.309
3,0,put,34,23.992
3,0,put,35,27.270
3,0,put,36,25.559
3,0,put,37,28.497
3,0,put,38,26.107
3,0,put,39,26.515
3,0,put,40,25.774
3,0,put,41,27.766
3,0,put,42,28.307
3,0,put,43,24.192
3,0,put,44,23.700
3,0,put,45,23.309
3,0,put,46,29.314
3,0,put,47,27.389
3,0,put,48,28.534
3,0,put,49,29.201
3,0,get,0,23.932
3,0,get,1,18.682
3,0,get,2,19.926
3,0,get,3,18.263
3,0,get,4,18.733
3,0,get,5,19.861
3,0,get,6,23.719
3,0,get,7,19.890
3,0,get,8,22.262
3,0,get,9,26.559
3,0,get,10,19.482
3,0,get,11,17.164
3,0,get,12,21.172
3,0,get,13,23.480
3,0,get,14,18.683
3,0,get,15,21.522
3,0,get,16,20.250
3,0,get,17,22.030
3,0,get,18,29.908
3,0,get,19,19.649
3,0,get,20,20.423
3,0,get,21,19.505
3,0,get,22,20.136
3,0,get,23,23.037
3,0,get,24,22.283
3,0,get,25,18.897
3,0,get,26,19.540
3,0,get,27,22.965
3,0,get,28,19.753
3,0,get,29,19.499
3,0,get,30,20.345
3,0,get,31,16.384
3,0,get,32,20.212
3,0,get,33,22.184
3,0,get,34,19.064
3,0,get,35,20.570
3,0,get,36,20.123
3,0,get,37,21.650
3,0,get,38,22.817
3,0,get,39,20.633
3,0,get,40,19.611
3,0,get,41,21.293
3,0,get,42,21.534
3,0,get,43,19.049
3,0,get,44,18.597
3,0,get,45,18.730
3,0,get,46,19.788
3,0,get,47,19.112
3,0,get,48,19.147
3,0,get,49,20.425
3,1,put,0,26.400
3,1,put,1,25.147
3,1,put,2,27.726
3,1,put,3,27.474
3,1,put,4,28.345
3,1,put,5,30.650
3,1,put,6,28.199
3,1,put,7,29.259
3,1,put,8,29.583
3,1,put,9,29.701
3,1,put,10,26.933
3,1,put,11,30.580
3,1,put,12,30.223
3,1,put,13,26.224
3,1,put,14,26.991
3,1,put,15,26.686
3,1,put,16,23.866
3,1,put,17,24.794
3,1,put,18,30.827
3,1,put,19,29.771
3,1,put,20,30.208
3,1,put,21,28.624
3,1,put,22,28.570
3,1,put,23,26.273
3,1,put,24,28.048
3,1,put,25,27.641
3,1,put,26,28.071
3,1,put,27,26.130
3,1,put,28,28.701
3,1,put,29,28.570
3,1,put,30,25.177
3,1,put,31,23.427
3,1,put,32,24.826
3,1,put,33,27.118
3,1,put,34,25.971
3,1,put,35,26.875
3,1,put,36,27.449
3,1,put,37,26.542
3,1,put,38,26.925
3,1,put,39,27.009
3,1,put,40,29.728
3,1,put,41,30.625
3,1,put,42,27.369
3,1,put,43,28.392
3,1,put,44,30.491
3,1,put,45,27.616
3,1,put,46,28.481
3,1,put,47,26.863
3,1,put,48,27.081
3,1,put,49,28.250
3,1,get,0,20.605
3,1,get,1,19.362
3,1,get,2,22.834
3,1,get,3,20.485
3,1,get,4,20.149
3,1,get,5,18.808
3,1,get,6,24.654
3,1,get,7,20.050
3,1,get,8,17.528
3,1,get,9,17.449
3,1,get,10,15.775
3,1,get,11,17.941
3,1,get,12,16.817
3,1,get,13,17.034
3,1,get,14,19.190
3,1,get,15,20.803
3,1,get,16,20.158
3,1,get,17,23.618
3,1,get,18,21.881
3,1,get,19,21.498
3,1,get,20,23.791
3,1,get,21,26.190
3,1,get,22,23.737
3,1,get,23,20.238
3,1,get,24,21.832
3,1,get,25,22.167
3,1,get,26,21.976
3,1,get,27,21.296
3,1,get,28,20.185
3,1,get,29,22.711
3,1,get,30,21.015
3,1,get,31,21.809
3,1,get,32,21.445
3,1,get,33,21.382
3,1,get,34,22.412
3,1,get,35,24.605
3,1,get,36,24.876
3,1,get,37,20.184
3,1,get,38,25.416
3,1,get,39,21.139
3,1,get,40,21.838
3,1,get,41,20.678
3,1,get,42,21.047
3,1,get,43,30.857
3,1,get,44,19.074
3,1,get,45,17.905
3,1,get,46,28.393
3,1,get,47,18.435
3,1,get,48,19.618
3,1,get,49,17.065
3,2,put,0,26.903
3,2,put,1,26.876
3,2,put,2,25.051
3,2,put,3,26.967
3,2,put,4,27.947
3,2,put,5,27.716
3,2,put,6,24.982
3,2,put,7,23.934
3,2,put,8,31.410
3,2,put,9,26.781
3,2,put,10,26.006
3,2,put,11,28.353
3,2,put,12,26.575
3,2,put,13,28.436
3,2,put,14,25.930
3,2,put,15,28.515
3,2,put,16,27.134
3,2,put,17,25.959
3,2,put,18,28.555
3,2,put,19,27.542
3,2,put,20,25.519
3,2,put,21,26.052
3,2,put,22,24.924
3,2,put,23,26.167
3,2,put,24,28.242
3,2,put,25,28.483
3,2,put,26,23.713
3,2,put,27,24.660
3,2,put,28,24.868
3,2,put,29,26.022
3,2,put,30,26.571
3,2,put,31,28.957
3,2,put,32,26.165
3,2,put,33,26.415
3,2,put,34,25.145
3,2,put,35,25.275
3,2,put,36,25.684
3,2,put,37,24.888
3,2,put,38,28.376
3,2,put,39,26.815
3,2,put,40,28.700
3,2,put,41,25.991
3,2,put,42,25.717
3,2,put,43,28.112
3,2,put,44,24.924
3,2,put,45,26.934
3,2,put,46,27.108
3,2,put,47,26.782
3,2,put,48,28.125
3,2,put,49,25.300
3,2,get,0,19.959
3,2,get,1,18.272
3,2,get,2,20.713
3,2,get,3,19.156
3,2,get,4,17.665
3,2,get,5,19.505
3,2,get,6,21.433
3,2,get,7,18.342
3,2,get,8,21.898
3,2,get,9,19.127
3,2,get,10,19.655
3,2,get,11,22.520
3,2,get,12,20.641
3,2,get,13,19.686
3,2,get,14,24.014
3,2,get,15,19.031
3,2,get,16,17.293
3,2,get,17,21.468
3,2,get,18,19.607
3,2,get,19,22.155
3,2,get,20,22.789
3,2,get,21,20.766
3,2,get,22,18.515
3,2,get,23,22.032
3,2,get,24,21.655
3,2,get,25,20.743
3,2,get,26,21.319
3,2,get,27,18.830
3,2,get,28,18.970
3,2,get,29,19.570
3,2,get,30,18.454
3,2,get,31,17.957
3,2,get,32,18.925
3,2,get,33,19.563
3,2,get,34,18.928
3,2,get,35,18.655
3,2,get,36,20.087
3,2,get,37,22.526
3,2,get,38,23.943
3,2,get,39,22.748
3,2,get,40,21.371
3,2,get,41,24.796
3,2,get,42,22.752
3,2,get,43,24.010
3,2,get,44,21.066
3,2,get,45,20.532
3,2,get,46,19.798
3,2,get,47,23.489
3,2,get,48,21.062
3,2,get,49,21.931
3,3,put,0,28.431
3,3,put,1,28.058
3,3,put,2,26.282
3,3,put,3,26.818
3,3,put,4,29.519
3,3,put,5,25.964
3,3,put,6,25.495
3,3,put,7,24.453
3,3,put,8,25.032
3,3,put,9,25.444
3,3,put,10,22.634
3,3,put,11,25.408
3,3,put,12,24.460
3,3,put,13,24.874
3,3,put,14,25.513
3,3,put,15,25.713
3,3,put,16,25.217
3,3,put,17,22.925
3,3,put,18,24.868
3,3,put,19,27.430
3,3,put,20,25.259
3,3,put,21,25.769
3,3,put,22,24.733
3,3,put,23,26.567
3,3,put,24,25.509
3,3,put,25,25.587
3,3,put,26,26.594
3,3,put,27,28.935
3,3,put,28,23.459
3,3,put,29,25.278
3,3,put,30,24.874
3,3,put,31,26.187
3,3,put,32,24.749
3,3,put,33,24.843
3,3,put,34,26.581
3,3,put,35,25.431
3,3,put,36,26.095
3,3,put,37,26.159
3,3,put,38,26.086
3,3,put,39,27.143
3,3,put,40,25.857
3,3,put,41,25.746
3,3,put,42,23.522
3,3,put,43,25.010
3,3,put,44,25.940
3,3,put,45,25.415
3,3,put,46,25.102
3,3,put,47,26.949
3,3,put,48,27.421
3,3,put,49,26.566
3,3,get,0,18.438
3,3,get,1,17.750
3,3,get,2,18.438
3,3,get,3,22.770
3,3,get,4,16.928
3,3,get,5,22.464
3,3,get,6,18.885
3,3,get,7,18.879
3,3,get,8,22.339
3,3,get,9,20.617
3,3,get,10,20.203
3,3,get,11,19.815
3,3,get,12,24.200
3,3,get,13,18.912
3,3,get,14,22.773
