dataset,nodes,operation,count,mean_ms,min_ms,p50_ms,p95_ms,max_ms
EC2,3,put,250,9.35,7.87,9.1,10.48,32.34
EC2,3,get,250,3.0,2.17,2.92,3.62,7.92
EC2,5,put,250,9.2,7.72,9.08,10.26,16.66
EC2,5,get,250,3.28,2.17,3.01,4.75,13.56
EC2,9,put,250,9.31,7.39,8.86,13.46,18.94
EC2,9,get,250,3.09,2.04,2.87,4.14,12.58
EC2,20,put,250,15.16,8.14,14.57,20.18,34.15
EC2,20,get,250,3.21,2.13,2.87,5.48,8.84
EC2,totale,put,1000,10.75,7.39,9.33,18.09,34.15
EC2,totale,get,1000,3.14,2.04,2.92,4.38,13.56
Mac,3,put,250,26.72,22.63,26.51,29.89,36.38
Mac,3,get,247,20.74,15.78,20.42,24.2,30.86
Mac,5,put,250,24.64,20.76,24.3,28.01,45.77
Mac,5,get,247,18.02,14.61,17.76,21.41,26.61
Mac,9,put,248,27.61,22.72,26.27,31.19,155.14
Mac,9,get,249,21.59,16.73,21.1,26.66,42.74
Mac,20,put,250,24.07,21.07,23.58,26.72,72.26
Mac,20,get,250,19.51,15.87,19.14,22.8,34.37
Mac,totale,put,998,25.76,20.76,25.18,29.77,155.14
Mac,totale,get,993,19.97,14.61,19.54,24.51,42.74
